,Name,Born,Age,Batting Style,Bowling Style,Playing Role,Teams_playing,Country,Mat,Span,Runs,HS,Bat Avg,100s,Wkts,Bowl Avg,5w,Catches,Stumping,Avg Diff,Matches_won,Matches_lost,BBI_wickets,BBI_runs,career_span_yrs
2269,Sisanda Somila Bruce Magala,1991-01-07,33,Right hand Bat,Right arm Fast medium,Bowler,7,SouthAfrica,6,2021-2023,34,18,34.0,0,6,37.66,0,1,0,-3.66,2,4,3,21,2
2270,Keshav Athmanand Maharaj,1990-02-07,34,Right hand Bat,Slow Left arm Orthodox,Bowler,7,SouthAfrica,27,2021-2023,79,41,13.16,0,24,27.95,0,12,0,-14.79,16,9,2,21,2
2281,Aiden Kyle Markram,1994-10-04,29,Right hand Bat,Right arm Offbreak,Opening Batter,9,SouthAfrica,39,2019-2023,1118,70,38.55,0,10,30.6,0,26,0,7.95,23,15,3,21,4
2283,Eliz-mari Marx,2003-01-20,21,Right hand Bat,Right arm Medium,Bowler,2,SouthAfrica,3,2023-2023,1,1,1.0,0,1,45.0,0,0,0,-44.0,1,1,1,25,0
2285,Ryan McLaren,1983-02-09,41,Left hand Bat,Right arm Medium fast,Allrounder,10,SouthAfrica,12,2009-2014,9,6,9.0,0,17,19.52,1,3,0,-10.52,9,3,5,19,5
2291,Nonkululeko Mlaba,2000-06-27,23,Right hand Bat,Slow Left arm Orthodox,Bowler,2,SouthAfrica,45,2019-2024,8,5,4.0,0,35,24.71,0,2,0,-20.71,19,22,3,10,5
2306,Morne Morkel,1984-10-06,39,Left hand Bat,Right arm Fast,Bowler,14,SouthAfrica,44,2007-2017,22,8,7.33,0,47,25.34,0,5,0,-18.0,26,17,4,17,10
2307,Christopher Henry Morris,1987-04-30,36,Right hand Bat,Right arm Fast medium,Bowling Allrounder,17,SouthAfrica,23,2012-2019,133,55,14.77,0,34,20.5,0,6,0,-5.72,15,8,4,27,7
2311,Pieter Willem Adriaan Mulder,1998-02-19,25,Right hand Bat,Right arm Medium,Allrounder,7,SouthAfrica,5,2021-2021,51,36,25.5,0,5,18.0,0,4,0,7.5,4,1,2,10,0
2322,Anrich Arno Nortje,1993-11-16,30,Right hand Bat,Right arm Fast,Bowler,11,SouthAfrica,31,2019-2023,16,4,2.66,0,38,19.52,0,8,0,-16.85,14,15,4,10,4
2336,Wayne Dillon Parnell,1989-07-30,34,Left hand Bat,Left arm Medium fast,Bowler,20,SouthAfrica,56,2009-2023,174,29,17.4,0,59,25.64,1,7,0,-8.24,32,23,5,30,14
2338,Dane Paterson,1989-04-04,34,Right hand Bat,Right arm Fast medium,Bowler,8,SouthAfrica,8,2017-2018,5,4,5.0,0,9,29.44,0,1,0,-24.44,5,3,4,32,1
2341,Aaron Mpho Phangiso,1984-01-21,40,Right hand Bat,Slow Left arm Orthodox,Bowler,10,SouthAfrica,16,2012-2018,19,13,6.33,0,20,22.15,0,0,0,-15.81,9,7,3,25,6
2342,Andile Lucky Phehlukwayo,1996-03-03,27,Left hand Bat,Right arm Medium fast,Bowling Allrounder,7,SouthAfrica,40,2017-2023,159,27,9.93,0,45,22.95,0,8,0,-13.01,20,19,4,24,6
2343,Vernon Darryl Philander,1985-06-24,38,Right hand Bat,Right arm Fast medium,Allrounder,13,SouthAfrica,7,2007-2007,14,6,3.5,0,4,28.5,0,1,0,-25.0,5,2,2,23,0
2353,Dwaine Pretorius,1989-03-29,34,Right hand Bat,Right arm Medium fast,Bowling Allrounder,14,SouthAfrica,30,2017-2022,261,77,21.75,0,35,19.88,1,6,0,1.86,19,10,5,17,5
2357,Kagiso Rabada,1995-05-25,28,Left hand Bat,Right arm Fast,Bowler,15,SouthAfrica,56,2014-2023,147,22,21.0,0,58,29.87,0,18,0,-8.87,30,23,3,20,9
2374,Tumi Sphindile Sekhukhune,1998-11-21,25,Left hand Bat,Right arm Fast medium,Bowler,4,SouthAfrica,31,2018-2023,6,3,3.0,0,29,20.31,0,14,0,-17.31,14,15,3,20,5
